run,framework,server_ready_ms,end_to_end_startup_ms,latency_avg_ms,latency_p95_ms,throughput_bytes_per_sec
run_000,rest,2.338000,13207.783000,40.805400,42.106800,1587.200000
run_000,websocket,2.645000,5019.041000,0.037642,0.052695,3475420.000000
run_000,webrtc,7.586000,1103.384000,0.263741,0.536304,236454.000000
run_001,rest,2.350000,13188.476000,40.786800,42.093000,1587.200000
run_001,websocket,2.484000,5019.494000,0.041352,0.056502,3143800.000000
run_001,webrtc,5.762000,1114.863000,0.381484,0.663611,219738.000000
run_002,rest,1.688000,13195.040000,40.781200,42.059100,1587.200000
run_002,websocket,1.957000,5015.247000,0.025447,0.035251,2233310.000000
run_002,webrtc,5.682000,1114.677000,0.370611,0.580396,216640.000000
run_003,rest,2.484000,13212.891000,40.800400,42.111500,1587.200000
run_003,websocket,2.190000,5016.076000,0.031728,0.034937,2260390.000000
run_003,webrtc,7.174000,1100.772000,0.304982,0.553344,267878.000000
run_004,rest,2.238000,13207.133000,40.846200,42.090500,1587.200000
run_004,websocket,3.608000,5024.911000,0.043568,0.070537,2050790.000000
run_004,webrtc,7.286000,1118.590000,0.350829,0.654934,240768.000000
run_005,rest,1.801000,13205.142000,40.817500,42.085400,1587.200000
run_005,websocket,2.563000,5017.251000,0.025301,0.026492,2752780.000000
run_005,webrtc,6.936000,1116.197000,0.346715,0.736119,269184.000000
run_006,rest,1.845000,13185.730000,40.757300,42.075600,1587.200000
run_006,websocket,1.692000,5010.735000,0.012696,0.015395,3750940.000000
run_006,webrtc,8.262000,1118.089000,0.328288,0.667265,280410.000000
run_007,rest,2.724000,13185.621000,40.746500,42.075200,1587.200000
run_007,websocket,2.258000,5015.342000,0.025299,0.027175,4294590.000000
run_007,webrtc,7.698000,1118.456000,0.330406,0.758714,277875.000000
run_008,rest,1.770000,13189.174000,40.802000,42.119600,1587.200000
run_008,websocket,7.756000,5020.434000,0.023564,0.024795,5167800.000000
run_008,webrtc,8.270000,1098.049000,0.278841,0.602691,279258.000000
run_009,rest,1.869000,13212.007000,40.887200,42.035500,1587.200000
run_009,websocket,2.642000,5016.317000,0.028102,0.034695,3414220.000000
run_009,webrtc,7.739000,1108.865000,0.338031,0.550559,316262.000000
