framework,metric,n,mean,stdev,variance,min,max,cv_percent
rest,end_to_end_startup_ms,10,13198.899700,10.588339,112.112926,13185.621000,13212.891000,0.080
rest,latency_avg_ms,10,40.803050,0.038985,0.001520,40.746500,40.887200,0.096
rest,latency_p95_ms,10,42.085220,0.024029,0.000577,42.035500,42.119600,0.057
rest,server_ready_ms,10,2.110700,0.340633,0.116031,1.688000,2.724000,16.138
rest,throughput_bytes_per_sec,10,1587.200000,0.000000,0.000000,1587.200000,1587.200000,0.000
webrtc,end_to_end_startup_ms,10,1111.194200,7.439293,55.343079,1098.049000,1118.590000,0.669
webrtc,latency_avg_ms,10,0.329393,0.035652,0.001271,0.263741,0.381484,10.823
webrtc,latency_p95_ms,10,0.630394,0.074256,0.005514,0.536304,0.758714,11.779
webrtc,server_ready_ms,10,7.239500,0.859919,0.739460,5.682000,8.270000,11.878
webrtc,setup_ms,10,927.810420,298.636364,89183.678096,31.974200,1032.910000,32.187
webrtc,throughput_bytes_per_sec,10,260446.700000,29735.807452,884218244.810000,216640.000000,316262.000000,11.417
websocket,end_to_end_startup_ms,10,5017.484800,3.589807,12.886715,5010.735000,5024.911000,0.072
websocket,latency_avg_ms,10,0.029470,0.008837,0.000078,0.012696,0.043568,29.986
websocket,latency_p95_ms,10,0.037847,0.016061,0.000258,0.015395,0.070537,42.436
websocket,server_ready_ms,10,2.979500,1.664385,2.770179,1.692000,7.756000,55.861
websocket,throughput_bytes_per_sec,10,3254404.000000,938469.590612,880725172504.000000,2050790.000000,5167800.000000,28.837
